Date,ConnType,Lat,Lon,Download Speed,Download Size,Upload Speed,Upload Size,Latency,Server,InternalIp,ExternalIp,URL
"01/15/2022, 1:19 PM",Wifi,24.368269,54.740255,1.148416,1952246,0.565472,735524,13,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060477601
"01/15/2022, 1:20 PM",Wifi,24.368269,54.740255,7.27732,12065760,1.629688,2441611,13,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060479981
"01/15/2022, 1:21 PM",Wifi,24.368269,54.740255,3.974192,4606208,0.26752,524288,13,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060481785
"01/15/2022, 1:22 PM",Wifi,24.368269,54.740255,8.245976,14250240,6.2396,10414798,13,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060483464
"01/15/2022, 1:23 PM",Wifi,24.368269,54.740255,6.421464,8856000,4.079472,5592852,14,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060486162
"01/15/2022, 1:24 PM",Wifi,24.368269,54.740255,2.302368,3443040,2.65464,3964879,12,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060487886
"01/15/2022, 1:25 PM",Wifi,24.368269,54.740255,3.522616,5817600,4.610792,7527852,12,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060489517
"01/15/2022, 1:25 PM",Wifi,24.368269,54.740255,0.296808,404455,0.29852,458752,13,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060492262
"01/15/2022, 1:27 PM",Wifi,24.368269,54.740255,5.713528,8159040,3.928984,6051746,15,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060495149
"01/15/2022, 1:28 PM",Wifi,24.368269,54.740255,6.179696,7833600,0.74344,1123813,14,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060497502
"01/15/2022, 1:29 PM",Wifi,24.368269,54.740255,4.050184,5327714,1.356048,2267510,13,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060499517
"01/15/2022, 1:30 PM",Wifi,24.368269,54.740255,4.7034,5245920,1.567008,2123325,12,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060501394
"01/15/2022, 1:31 PM",Wifi,24.368269,54.740255,2.724496,3025440,1.7098,2824848,15,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060503714
"01/15/2022, 1:32 PM",Wifi,24.368269,54.740255,5.947608,10069920,1.324656,110592,13,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/-1
"01/15/2022, 1:37 PM",Wifi,24.368269,54.740255,1.218984,2187360,0.046896,40960,12,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060516866
"01/15/2022, 1:38 PM",Wifi,24.368269,54.740255,2.505208,3324960,1.977888,3061168,15,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060518686
"01/15/2022, 1:41 PM",Wifi,24.368269,54.740255,13.191832,14833664,1.216976,2189758,13,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/-1
"01/15/2022, 1:42 PM",Wifi,24.368269,54.740255,6.681272,5813280,4.755288,7623715,14,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060528503
"01/15/2022, 1:44 PM",Wifi,24.368269,54.740255,11.740648,15189120,1.20408,2287893,15,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060531767
"01/15/2022, 1:45 PM",Wifi,24.368269,54.740255,3.49036,3314880,12.440552,20922333,12,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060533371
"01/15/2022, 1:45 PM",Wifi,24.368269,54.740255,23.381256,31476960,8.020712,6681612,15,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060534664
"01/15/2022, 1:46 PM",Wifi,24.368269,54.740255,23.755232,38844224,13.390224,22798557,12,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060536886
"01/15/2022, 3:30 PM",Wifi,24.3682696,54.7402619,21.404272,18609120,9.17664,10781604,12,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060772347
"01/15/2022, 3:58 PM",Wifi,24.3682686,54.7402573,20.046264,9295200,8.347848,9213952,11,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8060840446
"01/15/2022, 5:04 PM",Wifi,24.4638,54.363,3.729648,5453280,7.060912,6258408,7,Abu Dhabi,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8061012601
"01/15/2022, 10:00 PM",Wifi,24.4638,54.363,3.210888,5349248,1.35832,328704,83,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8061818808
"01/15/2022, 10:05 PM",Wifi,24.4638,54.363,5.969056,8043786,0.783648,34816,12,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/8061831258
"01/15/2022, 10:06 PM",Wifi,24.4638,54.363,1.25648,1811373,2.122552,369664,12,Dubai,192.168.1.42,217.164.243.28,https://www.speedtest.net/my-result/a/-1
